mark,time
1,1241445250.0
1,1241445124.0
1,1241444572.0
1,1241444531.0
1,1241444311.0
1,1241444008.0
1,1241443425.0
1,1241443162.0
1,1241442818.0
1,1241442369.0
1,1241442048.0
1,1241441734.0
1,1241441486.0
1,1241365705.0
1,1241365076.0
1,1241363693.0
1,1241363418.0
1,1241363071.0
1,1241362585.0
1,1241362251.0
1,1241361989.0
1,1241361560.0
1,1241361246.0
1,1241360882.0
1,1241360415.0
1,1241359660.0
1,1241359275.0
1,1241358985.0
1,1241358440.0
1,1241358046.0
1,1241357775.0
1,1241357564.0
1,1241357351.0
1,1241356870.0
1,1241356405.0
1,1241355728.0
1,1241278190.0
1,1241277885.0
1,1241277586.0
1,1241277229.0
1,1241276937.0
1,1241276706.0
1,1241276459.0
1,1241276212.0
1,1241276212.0
1,1241275935.0
1,1241275820.0
1,1241275426.0
1,1241275031.0
1,1241274656.0
1,1241274388.0
1,1241274244.0
1,1241273946.0
1,1241273636.0
1,1241273409.0
1,1241273176.0
1,1241272862.0
1,1241272532.0
1,1241272305.0
1,1241271965.0
1,1241271651.0
1,1241271321.0
1,1241271094.0
1,1241270755.0
1,1241270441.0
1,1241270111.0
1,1241269884.0
1,1241269544.0
1,1241269230.0
1,1241268900.0
1,1241188043.0
1,1241186836.0
1,1241186127.0
1,1241181946.0
1,1241180294.0
1,1241179799.0
1,1241179470.0
1,1241179095.0
1,1241178900.0
1,1241178601.0
1,1241172460.0
1,1241172233.0
1,1241171894.0
1,1241171579.0
1,1241171249.0
1,1241170945.0
1,1241170570.0
1,1241170374.0
1,1241170076.0
1,1241169743.0
1,1241169456.0
1,1241169141.0
1,1241168880.0
1,1241168620.0
1,1241168299.0
1,1241167956.0
1,1241167519.0
1,1241167309.0
1,1241167078.0
1,1241166684.0
1,1241166290.0
1,1241165915.0
1,1241165719.0
1,1241165421.0
1,1241165088.0
1,1241164800.0
1,1241164486.0
1,1241164224.0
1,1241163965.0
1,1241163643.0
1,1241163301.0
1,1241162864.0
1,1241162654.0
1,1241162423.0
1,1241162029.0
1,1241161634.0
1,1241157551.0
1,1241157355.0
1,1241157057.0
1,1241156724.0
1,1241156436.0
1,1241156121.0
1,1241155860.0
1,1241155601.0
1,1241155279.0
1,1241154936.0
1,1241154499.0
1,1241154330.0
1,1241153901.0
1,1241153507.0
1,1241153132.0
1,1241152936.0
1,1241152638.0
1,1241152305.0
1,1241152017.0
1,1241151702.0
1,1241151441.0
1,1241151182.0
1,1241150860.0
1,1241150518.0
1,1241150011.0
1,1241141122.0
1,1241140807.0
1,1241140477.0
1,1241140259.0
1,1241140054.0
1,1241139715.0
1,1241139400.0
1,1241139070.0
1,1241138930.0
1,1241137907.0
1,1241113359.0
1,1241113109.0
1,1241112944.0
1,1241112698.0
1,1241112422.0
1,1241111949.0
1,1241111715.0
1,1241111430.0
1,1241111126.0
1,1241110827.0
1,1241110469.0
1,1241110177.0
1,1241109946.0
1,1241109247.0
1,1241108999.0
1,1241108723.0
1,1241108339.0
1,1241107966.0
1,1241107738.0
1,1241107501.0
1,1241107187.0
1,1241106856.0
1,1241103139.0
1,1241102892.0
1,1241018882.0
1,1241018464.0
1,1241017532.0
1,1241016817.0
1,1241016579.0
1,1241016424.0
1,1241016201.0
1,1241015957.0
1,1241015298.0
1,1241015057.0
1,1241014831.0
1,1241014568.0
1,1241014341.0
1,1241014103.0
1,1241013808.0
1,1241013585.0
1,1241013342.0
1,1241013144.0
1,1241012647.0
1,1241012423.0
1,1241011251.0
1,1241011014.0
1,1241010719.0
1,1241010496.0
1,1241010253.0
1,1241010055.0
1,1241009824.0
1,1241008998.0
1,1240927375.0
1,1240927167.0
1,1240926856.0
1,1240926581.0
1,1240926234.0
1,1240925748.0
1,1240925414.0
1,1240925152.0
1,1240924722.0
1,1240924408.0
1,1240924045.0
1,1240923958.0
1,1240923662.0
1,1240923295.0
1,1240922174.0
1,1240845158.0
1,1240844691.0
1,1240844274.0
1,1240843521.0
1,1240843484.0
1,1240842905.0
1,1240842526.0
1,1240842074.0
1,1240841643.0
1,1240841263.0
1,1240840825.0
1,1240840358.0
1,1240839941.0
1,1240839447.0
1,1240839444.0
1,1240839077.0
1,1240838817.0
1,1240838564.0
1,1240838295.0
1,1240838295.0
1,1240838094.0
1,1240838093.0
1,1240837954.0
1,1240837954.0
1,1240837647.0
1,1240837647.0
1,1240837289.0
1,1240837289.0
1,1240837064.0
1,1240837064.0
1,1240836794.0
1,1240836794.0
1,1240836533.0
1,1240836533.0
1,1240836311.0
1,1240836057.0
1,1240835341.0
1,1240835341.0
1,1240835072.0
1,1240835072.0
1,1240834908.0
1,1240772539.0
1,1240772052.0
1,1240771719.0
1,1240771456.0
1,1240771027.0
1,1240770713.0
1,1240770350.0
1,1240770262.0
1,1240769967.0
1,1240769600.0
1,1240769265.0
1,1240768628.0
1,1240768280.0
1,1240768073.0
1,1240767761.0
1,1240767486.0
1,1240767140.0
1,1240766653.0
1,1240766319.0
1,1240766057.0
1,1240765628.0
1,1240765314.0
1,1240764951.0
1,1240764863.0
1,1240764568.0
1,1240764129.0
1,1240763589.0
1,1240763242.0
1,1240763035.0
1,1240762812.0
1,1240762013.0
1,1240761666.0
1,1240761325.0
1,1240761062.0
1,1240760798.0
1,1240760409.0
1,1240760135.0
1,1240759317.0
1,1240759230.0
1,1240758495.0
1,1240758128.0
1,1240757768.0
1,1240757473.0
1,1240757250.0
1,1240757007.0
1,1240756809.0
1,1240756578.0
1,1240755681.0
1,1240755056.0
1,1240754633.0
1,1240754104.0
1,1240753861.0
1,1240753538.0
1,1240753252.0
1,1240752824.0
1,1240752034.0
1,1240751699.0
1,1240751352.0
1,1240750969.0
1,1240750633.0
1,1240714571.0
1,1240714298.0
1,1240713938.0
1,1240713637.0
1,1240713337.0
1,1240713055.0
1,1240672750.0
1,1240672429.0
1,1240672115.0
1,1240671867.0
1,1240671551.0
1,1240671433.0
1,1240671173.0
1,1240671007.0
1,1240670728.0
1,1240670681.0
1,1240670404.0
1,1240670178.0
1,1240669803.0
1,1240668768.0
1,1240668558.0
1,1240668432.0
1,1240667880.0
1,1240667839.0
1,1240667619.0
1,1240667316.0
1,1240666733.0
1,1240666470.0
1,1240666126.0
1,1240665677.0
1,1240665355.0
1,1240665041.0
1,1240664794.0
1,1240628215.0
1,1240628134.0
1,1240627865.0
1,1240627831.0
1,1240627388.0
1,1240627286.0
1,1240626882.0
1,1240626691.0
1,1240626364.0
1,1240584785.0
1,1240584591.0
1,1240584340.0
1,1240584156.0
1,1240583952.0
1,1240583714.0
1,1240583355.0
1,1240583130.0
1,1240582860.0
1,1240582599.0
1,1240581280.0
1,1240581026.0
1,1240580766.0
1,1240580515.0
1,1240580245.0
1,1240580044.0
1,1240579904.0
1,1240579597.0
1,1240579239.0
1,1240579014.0
1,1240578744.0
1,1240578483.0
1,1240578261.0
1,1240578007.0
1,1240577747.0
1,1240577496.0
1,1240577226.0
1,1240577024.0
1,1240576885.0
1,1240576578.0
1,1240576220.0
1,1240575816.0
1,1240573831.0
1,1240573577.0
1,1240569914.0
1,1240569660.0
1,1240568746.0
1,1240567362.0
1,1240567135.0
1,1240567101.0
1,1240566658.0
1,1240566557.0
1,1240565108.0
1,1240564770.0
1,1240564690.0
1,1240564504.0
1,1240564323.0
1,1240564243.0
1,1240563915.0
1,1240563883.0
1,1240563497.0
1,1240563416.0
1,1240563147.0
1,1240563113.0
1,1240562670.0
1,1240562568.0
1,1240562191.0
1,1240544443.0
1,1240541479.0
1,1240539878.0
1,1240539411.0
1,1240497498.0
1,1240496872.0
1,1240494980.0
1,1240494737.0
1,1240494539.0
1,1240494345.0
1,1240493982.0
1,1240493714.0
1,1240493679.0
1,1240493237.0
1,1240493135.0
1,1240492759.0
1,1240492540.0
1,1240492213.0
1,1240492133.0
1,1240413651.0
1,1240412743.0
1,1240412480.0
1,1240412136.0
1,1240411687.0
1,1240411366.0
1,1240411052.0
1,1240410804.0
1,1240410464.0
1,1240410241.0
1,1240409998.0
1,1240409800.0
1,1240409569.0
1,1240409319.0
1,1240409088.0
1,1240408847.0
1,1240408621.0
1,1240408357.0
1,1240408130.0
1,1240407893.0
1,1240407598.0
1,1240407375.0
1,1240407132.0
1,1240406934.0
1,1240406702.0
1,1240403729.0
1,1240403648.0
1,1240403379.0
1,1240403345.0
1,1240402902.0
1,1240402800.0
1,1240402424.0
1,1240402206.0
1,1240401879.0
1,1240401799.0
1,1240401613.0
1,1240401431.0
1,1240401351.0
1,1240401023.0
1,1240400991.0
1,1240400605.0
1,1240400524.0
1,1240400255.0
1,1240400221.0
1,1240399778.0
1,1240399677.0
1,1240399300.0
1,1240399081.0
1,1240398754.0
1,1240398674.0
1,1240375653.0
1,1240375619.0
1,1240375176.0
1,1240373615.0
1,1240373368.0
1,1240338417.0
1,1240338214.0
1,1240338088.0
1,1240337536.0
1,1240337495.0
1,1240337275.0
1,1240336972.0
1,1240336389.0
1,1240336125.0
1,1240335782.0
1,1240335333.0
1,1240334575.0
1,1240334261.0
1,1240334013.0
1,1240333799.0
1,1240333488.0
1,1240333181.0
1,1240332935.0
1,1240332696.0
1,1240332476.0
1,1240332202.0
1,1240331862.0
1,1240331821.0
1,1240331695.0
1,1240331372.0
1,1240331172.0
1,1240330872.0
1,1240330797.0
1,1240330066.0
1,1240330022.0
1,1240329596.0
1,1240329348.0
1,1240329135.0
1,1240328253.0
1,1240327847.0
1,1240327553.0
1,1240327512.0
1,1240327387.0
1,1240327064.0
1,1240326864.0
1,1240326564.0
1,1240326488.0
1,1240325757.0
1,1240325712.0
1,1240325079.0
1,1240324816.0
1,1240324472.0
1,1240324023.0
1,1240323702.0
1,1240323387.0
1,1240323127.0
1,1240237642.0
1,1240237328.0
1,1240237080.0
1,1240235865.0
1,1240235416.0
1,1240235094.0
1,1240234780.0
1,1240234532.0
1,1240234145.0
1,1240234037.0
1,1240234037.0
1,1240233834.0
1,1240233658.0
1,1240233511.0
1,1240233390.0
1,1240233062.0
1,1240232867.0
1,1240232716.0
1,1240232241.0
1,1240231920.0
1,1240231606.0
1,1240231358.0
1,1240163198.0
1,1240163157.0
1,1240162937.0
1,1240162634.0
1,1240162051.0
1,1240161788.0
1,1240161445.0
1,1240160995.0
1,1240160674.0
1,1240160360.0
1,1240160112.0
1,1240159016.0
1,1240158658.0
1,1240158322.0
1,1240158027.0
1,1240157813.0
1,1240157364.0
1,1240157042.0
1,1240156728.0
1,1240156481.0
1,1240155240.0
1,1240154992.0
1,1240154778.0
1,1240154280.0
1,1240153874.0
1,1240153580.0
1,1240153539.0
1,1240153414.0
1,1240153090.0
1,1240152891.0
1,1240152330.0
1,1240152255.0
1,1240151524.0
1,1240151479.0
1,1240151043.0
1,1240150794.0
1,1240150581.0
1,1240150083.0
1,1240149677.0
1,1240149383.0
1,1240149342.0
1,1240149217.0
1,1240148893.0
1,1240148693.0
1,1240148394.0
1,1240148318.0
1,1240147576.0
1,1240147454.0
1,1240144808.0
1,1240144494.0
1,1240144246.0
1,1240076484.0
1,1240076376.0
1,1240076173.0
1,1240076047.0
1,1240075495.0
1,1240075454.0
1,1240075233.0
1,1240074931.0
1,1240074348.0
1,1240074084.0
1,1240073741.0
1,1240073291.0
1,1240072970.0
1,1240072635.0
1,1240072314.0
1,1240071999.0
1,1240071681.0
1,1240071367.0
1,1240071119.0
1,1240070931.0
1,1240070571.0
1,1240070269.0
1,1240069970.0
1,1240069688.0
1,1240069388.0
1,1240069119.0
1,1240068955.0
1,1240068839.0
1,1240068740.0
1,1240068474.0
1,1240068373.0
1,1240068149.0
1,1240067922.0
1,1240067759.0
1,1240067539.0
1,1240067450.0
1,1240067289.0
1,1240067069.0
1,1240066861.0
1,1240066571.0
1,1240066571.0
1,1240066315.0
1,1240066314.0
1,1240066153.0
1,1240066153.0
1,1240065659.0
1,1240065559.0
1,1240065190.0
1,1240064943.0
1,1240064627.0
1,1240064509.0
1,1240064249.0
1,1240064083.0
1,1240063804.0
1,1240063756.0
1,1240063480.0
1,1240063254.0
1,1240062879.0
1,1240062593.0
1,1240062485.0
1,1240062283.0
1,1240062157.0
1,1240061604.0
1,1240061565.0
1,1240061343.0
1,1240061040.0
1,1240060457.0
1,1240060194.0
1,1240059850.0
1,1240059401.0
1,1240059079.0
1,1240058766.0
1,1240058518.0
1,1240058201.0
1,1239994088.0
1,1239993868.0
1,1239993566.0
1,1239992983.0
1,1239992719.0
1,1239992376.0
1,1239991926.0
1,1239991605.0
1,1239991291.0
1,1239991044.0
1,1239990727.0
1,1239989838.0
1,1239989516.0
1,1239989202.0
1,1239988954.0
1,1239981059.0
1,1239980796.0
1,1239980452.0
1,1239980003.0
1,1239979682.0
1,1239979368.0
1,1239979120.0
1,1239978804.0
1,1239978686.0
1,1239978426.0
1,1239978260.0
1,1239977981.0
1,1239977933.0
1,1239977657.0
1,1239977431.0
1,1239977056.0
1,1239976770.0
1,1239976662.0
1,1239976459.0
1,1239976279.0
1,1239976116.0
1,1239975990.0
1,1239975438.0
1,1239975397.0
1,1239975177.0
1,1239974874.0
1,1239974290.0
1,1239973980.0
1,1239973636.0
1,1239973187.0
1,1239972866.0
1,1239972551.0
1,1239972172.0
1,1239972053.0
1,1239971794.0
1,1239971627.0
1,1239971348.0
1,1239971301.0
1,1239971024.0
1,1239970799.0
1,1239970423.0
1,1239970137.0
1,1239970030.0
1,1239969827.0
1,1239969330.0
1,1239969009.0
1,1239968695.0
1,1239968447.0
1,1239968039.0
1,1239967724.0
1,1239967394.0
1,1239967080.0
1,1239966832.0
1,1239946869.0
1,1239946555.0
1,1239946307.0
1,1239943539.0
1,1239943218.0
1,1239942904.0
1,1239942656.0
1,1239942378.0
1,1239942034.0
1,1239941585.0
1,1239941264.0
1,1239940950.0
1,1239940702.0
1,1239940679.0
1,1239940458.0
1,1239940075.0
1,1239932064.0
1,1239931748.0
1,1239931629.0
1,1239931370.0
1,1239931204.0
1,1239930925.0
1,1239930877.0
1,1239930600.0
1,1239930375.0
1,1239930000.0
1,1239929714.0
1,1239929606.0
1,1239929404.0
1,1239929278.0
1,1239928725.0
1,1239928684.0
1,1239928464.0
1,1239928161.0
1,1239927578.0
1,1239927315.0
1,1239926971.0
1,1239926522.0
1,1239926201.0
1,1239925887.0
1,1239925639.0
1,1239925323.0
1,1239925205.0
1,1239924945.0
1,1239924779.0
1,1239924500.0
1,1239924452.0
1,1239924176.0
1,1239923950.0
1,1239923575.0
1,1239923289.0
1,1239923181.0
1,1239922979.0
1,1239922853.0
1,1239922300.0
1,1239922259.0
1,1239922039.0
1,1239921736.0
1,1239921153.0
1,1239920890.0
1,1239920546.0
1,1239920097.0
1,1239919776.0
1,1239919462.0
1,1239919215.0
1,1239918898.0
1,1239918780.0
1,1239918521.0
1,1239918354.0
1,1239918075.0
1,1239918027.0
1,1239917751.0
1,1239917526.0
1,1239917150.0
1,1239916864.0
1,1239916756.0
1,1239916554.0
1,1239916428.0
1,1239915875.0
1,1239915834.0
1,1239915614.0
1,1239915311.0
1,1239914728.0
1,1239914465.0
1,1239914122.0
1,1239913672.0
1,1239913351.0
1,1239913037.0
1,1239912790.0
1,1239912474.0
1,1239912358.0
1,1239912096.0
1,1239911929.0
1,1239911650.0
1,1239911603.0
1,1239911326.0
1,1239911101.0
1,1239910725.0
1,1239910439.0
1,1239910332.0
1,1239910129.0
1,1239910003.0
1,1239909450.0
1,1239909409.0
1,1239909189.0
1,1239908887.0
1,1239908304.0
1,1239908040.0
1,1239907697.0
1,1239907248.0
1,1239906926.0
1,1239906612.0
1,1239906365.0
1,1239906049.0
1,1239905930.0
1,1239905671.0
1,1239905505.0
1,1239905225.0
1,1239905178.0
1,1239904901.0
1,1239904676.0
1,1239904300.0
1,1239904015.0
1,1239903907.0
1,1239903704.0
1,1239903578.0
1,1239903026.0
1,1239902985.0
1,1239902765.0
1,1239902462.0
1,1239901879.0
1,1239901615.0
1,1239901272.0
1,1239900823.0
1,1239900501.0
1,1239900187.0
1,1239899884.0
1,1239899569.0
1,1239899259.0
1,1239898943.0
1,1239898825.0
1,1239898565.0
1,1239898398.0
1,1239898341.0
1,1239898064.0
1,1239897571.0
1,1239897258.0
1,1239897010.0
1,1239896694.0
1,1239896575.0
1,1239896113.0
1,1239895791.0
1,1239895477.0
1,1239895103.0
1,1239894787.0
1,1239894668.0
1,1239894409.0
1,1239894242.0
1,1239893793.0
1,1239893344.0
1,1239893022.0
1,1239892708.0
1,1239892461.0
1,1239892145.0
1,1239892026.0
1,1239891767.0
1,1239891601.0
1,1239891322.0
1,1239891274.0
1,1239890998.0
1,1239890772.0
1,1239890396.0
1,1239890111.0
1,1239890003.0
1,1239889800.0
1,1239889621.0
1,1239889068.0
1,1239888807.0
1,1239888504.0
1,1239887920.0
1,1239887533.0
1,1239887238.0
1,1239816985.0
1,1239816401.0
1,1239816187.0
1,1239815969.0
1,1239815719.0
1,1239815500.0
1,1239815259.0
1,1239814926.0
1,1239814641.0
1,1239814252.0
1,1239813709.0
1,1239812570.0
1,1239812570.0
1,1239808565.0
1,1239808347.0
1,1239807763.0
1,1239807549.0
1,1239807331.0
1,1239807081.0
1,1239806862.0
1,1239806497.0
1,1239806165.0
1,1239805880.0
1,1239805491.0
1,1239804948.0
1,1239776567.0
1,1239776272.0
1,1239776043.0
1,1239775681.0
1,1239775378.0
1,1239775056.0
1,1239774938.0
1,1239774591.0
1,1239774263.0
1,1239773969.0
1,1239773770.0
1,1239773131.0
1,1239772721.0
1,1239772399.0
1,1239772208.0
1,1239771881.0
1,1239771586.0
1,1239770610.0
1,1239770263.0
1,1239769935.0
1,1239769640.0
1,1239717675.0
